Letter,Abbreviation,Definition
B,B2C,business-to-consumer
B,B2E,business-to-employee
B,B8ZS,Binary Eight Zero Suppression.
B,BAA,Blanket Authorization Agreement
B,BAC,BroadCast Agent
B,BACNET,Building Automation and Control Network protocol
B,BAF,Bellcore AMA                           Format 
B,BAI,Bank Administration Institute
B,BAM,business activity monitoring
B,BAN,Body Area Networks
B,BAPI,Business Application Programming Interface
B,BASH,Bourne-Again SHell 
B,BASIC,Beginners' All-purpose Symbolic Instruction Code
B,BAT," Baby Advanced Technology
 batch
 Baidu, Alibaba, Tencent"
B,BBC,"British Broadcasting Corporation
Broadband Bearer Capability"
B,BBCs,buffer-to-buffer credits 
B,BBN," Bolt, Beranek and Newman"
B,BBP,Business-to-Business Procurement
B,BBS,Bulletin Board System
B,BC4J,Business Components For Java
B,BCB,buffer control block
B,BCC,Block Check Character
B,BCD,binary-coded decimal
B,BCE,Bell Canada Enterprises;
B,BCEL,Byte Code Engineering Library
B,BCI,Business Continuity Institute
B,BCM,X
B,BCMP,X
B,BCOCA,Bar Code Object Content Architecture 
B,BCP," Best Current Practice
 Bulk Copy Program
 business continuity planning"
B,BCS,basic content services
B,BCUG,bilateral closed user group
B,BCV,business continuance volume
B,BCX,Basic To C Translator
B,BD, Blu-ray Disc
B,BDC,Backup Domain Controller
B,BDF,building distribution frame
B,BECN,Backward Explicit Congestion Notification
B,BEEP,Blocks Extensible Exchange Protocol
B,BER," Basic Encoding Rules
 bit error rate"
B,BERT,Bit Error Rate Test
B,BES,BlackBerry Enterprise Server
B,BFR,Bona Fide Request
B,BFT,Binary File Transfer
B,BGA,ball grid array
B,BGAN,Broadband Global Area Network
B,BGI,Binary Gateway Interface
B,BGP,Border Gateway Protocol
B,BGP-4,Border Gateway Protocol-4
B,BHCA,busy hour call attempt
B,BHCC,busy hour call completion
B,BHLI,Broadband High Layer Information
B,BHMC,Busy Hour Minutes of Capacity
B,BHO,Browser Help Object
B,BI,business intelligence
B,BIA,business impact analysis
B,BIBOP,big bag of pages
B,BIC,bank identifier code
B,BICI,Broadband Inter-Carrier Interface
B,BIDS,Business Intelligence Development Studio
B,BIOD,block input/output daemon 
B,BIOS,Basic Input/Output System
B,BIP,Bit Interleaved Parity
B,BIPS,Bank Internet Payment System
B,BIRT,Business Intelligence and Reporting Tools
B,BIST,built-in self test
B,BISUP,Broadband ISDN User's Part
B,BIT7,Bit Seven
B,BITNET,Because It's Time Networking 
B,BITS,"  Background Intelligent Transfer Service
  Banking Industry Technology Secretariat
 Bump-In-The-Stack "
B,BITW,Bump-In-The-Wire
B,BIW,Business Information Warehouse
B,BL,BLade Server
B,BLAST, Basic Local Alignment Search Tool
B,BLISS,Broadband Local Integrated Services Solution
B,BLOB,binary large object
B,BLS,Basic Link Service
B,BMRT,Blue Moon Rendering Tools
B,BMT,Biel Mean Time
B,BNC,Bayone-Neill-Concelman / British Naval Connector
B,BNF,Backus-Naur Form
B,BNI,Broadband Network Interface
B,BNOS,Brocade Network OS 
B,BO,X
B,BOA,Basic Object Adapter
B,BOB,"  Breakout Box
  Business Object Broker"
B,BOBJ,X
B,BOC,Bell operating company
B,BOCU-1,Binary Ordered               Compression for Unicode
B,BOD,Business Object Document
B,BOL,Books Online
B,BOM," Beginning of Message
  bill of materials
  Byte Order Mark"
B,BONDING,Bandwidth on Demand Inter-Operability Group
B,BOOTP,Bootstrap Protocol
B,BOPS,Billions of Processes Per Second
B,BOT,"  beginning of tape
 build-operate-transfer "
B,BPA," Business Process Analysis
 business process automation"
B,BPC,Business Planning and Consolidation
B,BPDM,Business Process Definition Metamodel
B,BPDU,Bridge Protocol Data Unit
B,BPEL,Business Process Execution Language
B,BPEL4WS ,Business Process Execution Language for Web Services
B,BPL,broadband over power lines
B,BPM,business process management
B,BPON,Broadband Passive Optical Network
B,BPOS,Business Productivity Online Standard Suite
B,BPP," Bluetooth Basic Printing
 Bridge Port Pair
 business process platform"
B,BPPM,BMC ProactiveNet Performance Management 
B,BPV,BiPolar Violation
B,BRA,Basic Rate Access
B,BRAN,Broadband Radio Access Networks 
B,BRAS,Broadband Remote Access Server
B,BRE,Business rule engines
B,BREW,"Binary Runtime Environment 
          for Wireless"
B,BRF,Benchmark Report Format
B,BRI,Basic Rate Interface
B,BROUTER,Bridge-Router
B,BRR,Business Readiness Rating
B,BRZ,Bipolar Return to Zero
B,BS 7799,British Standard 7799
B,BSA,Business Software Alliance
B,BSC," Balance Score Card
 binary synchronous communication"
B,BSC ,X
B,BSD,Berkeley Software Distribution
B,BSDI,"Berkeley Software Design, Inc."
B,BSE,Basic Service Elements
B,BSM,Business Service Management
B,BSNL,Bharat Sanchar Nigam Limited
B,BSP,board support package
B,BSS," Base Station System
 Broadband Switching System
 business support system"
B,BSSID, basic service set identifier
B,BST,binary search tree
B,BSoD,Blue Screen of Death
B,BT," BitTorrent
 British Telecom
 bluetooth"
B,BTAG,Beginning Tag
B,BTAM,Basic Telecommunications Access Method
B,BTM," Benchmark Timing Methodology
 business transaction monitoring"
B,BTO,Business technology optimization
B,BTS,Bits Per Second
B,BTW,By The Way
B,BTX,Balanced Technology eXtended
B,BUS,Broadcast and Unknown                                                   Server
B,BVD,Basic Virtual Disk
B,BW,bandwidth
B,BYOD,bring your own device
B,Basel II,Basel Capital Accord
B,Bcc,Blind Carbon Copy
B,Bellcore,Bell Communications Research
B,BiDi,Bi-Directional
B,Bin,binary
B,Binhex,BINary HEXadecimal
B,Bisync,X
B,Bit,Binary DigIT
B,Blog,X
B,BloggerBLOG,X
B,BoD,Bandwidth on Demand 
B,b,bit
B,bar file,broker archive file
B,boot,bootstrap
B,bot,X
B,botnet,X
B,bpi,bits per inch
B,bps,Bits Per Second
C,C&SI,consulting and system integration
C,C++,C Plus Plus
C,C-GREX, Chaos Game Representation Explorer
C,C/kT,carrier-to-receiver noise density
C,C2A,Click-to-Action
C,C4S,"command, control, communications, and computer systems"
C,C64/128,Commodore 64/128
C,CA," Certificate Authority 
 Computer Associates (formerly)"
C,CAC," Call Admission Control 
 Carrier Access Code
 Connection Admission                                                   Control"
C,CAD,Computer-Aided Design
C,CAI,Common Air Interface
C,CAL,Client Access License
C,CALEA,Communications Assistance for Law Enforcement Act
C,CAM," Capital Asset Management
 channel access method
 computer-aided manufacturing"
C,CAMA,centralized automatic message accounting
C,CAMEL,Customized                                                 Application for Mobile networks                                                 Enhanced Logic
C,CAN," Campus Area Network
 cancel character
 Controllerâarea network"
C,CAN-SPAM,"Controlling the Assault of Non-Solicited Pornography and
          Marketing"
C,CAP,carrierless amplitude phase modulation
C,CAPA,CA Productivity Accelerator
C,CAPE,concurrent art-to-product environment
C,CAPI," Common Application Programming interface
 Computer Assisted Personal Interviewing
  Computer Assisted Programming Interface"
C,CAPTCHA ,Completely Automated Public Turing Test to tell Computers and Humans Apart
C,CAR,committed access rate
C,CARE,Customer Account Record Exchange
C,CAROT,Centralized Automatic Reporting on Trunks
C,CARP,Common Address Redundancy Protocol
C,CART,command and response token
C,CAS," centralized attendant services
 channel associated signaling
 Column Address Strobe 
 computer algebra system 
 Common Analysis Structure
 Content-Addressed Storage"
C,CASE,computer-aided software engineering
C,CAT," Communications Authority of Thailand
 Computer-Assisted Translation"
C,CAT n ,Category n 
C,CATI,computer-aided telephone interviewing
C,CATIA,Computer Aided Three-dimensional Interactive Application
C,CATP,Caffeine Access Transport Protocol
C,CATS,Calling Card & Third Number Settlement
C,CATV,community antenna television (or Cable TV system)
C,CAV,Constant Angular Velocity
C,CBC,cipher block chaining
C,CBL,Composite Blocking List
C,CBN,common bonding network
C,CBP,"Certifed Biometrics 
          Professional"
C,CBQ,Class-Based Queuing
C,CBR," constant bit rate
 content based routing "
C,CBT,Computer Based Training
C,CBWFQ,Class-Based Weighted Fair Queueing
C,CC,closed captioning
C,CCA,Citrix Certified Administrator
C,CCAs,composite content applications 
C,CCC,Clear Channel Capability
C,CCD,Charge Coupled Device
C,CCD+,Cash Concentration and Disbursement plus addenda
C,CCF,call control function
C,CCH,connections per circuit hour
C,CCHIT,Certification Commission for Health Information Technology
C,CCI,controlled cryptographic item
C,CCIE,Cisco Certified Internetwork Expert
C,CCIR,Comite Consultatif International des Radio Communications
C,CCIS,common-channel interoffice signaling
C,CCITT,International Telegraph and Telephone Consultative Committee
C,CCL,Communications Control Language
C,CCNA,Cisco Certified Network Associate
C,CCOW,Clinical Context Object Workgroup
C,CCP,Certified Computer Professional
C,CCPM,Critical Chain Project Management
C,CCR," channel command retry
 Cluster Continuous Replication
 Commitment, Concurrency and Recovery
 Continuity of Care Record
 Current Cell Rate"
C,CCS," Centum Call Seconds
 Coded Character Set
 common channel signaling
 Control Compliance Suite"
C,CCSA,common control switching arrangement 
C,CCSE,Checkpoint Certified Security Expert
C,CCTV,Closed-Circuit Television
C,CD,Compact Disc
C,CD Table,change-data table
C,CD-R,Compact DiscâRecordable
C,CD-ROM,compact disc read-only memory
C,CD-RW,Compact disc-rewritable
C,CDB,capacity database
C,CDC,call data channel
C,CDDI,Copper Distributed Data Interface
C,CDE,common desktop environment
C,CDF," Channel Definition Format
 combined distribution frame "
C,CDFS,compact disc file system
C,CDH,Customer Data Hub 
C,CDI," client device identification
 Customer Data Integration"
C,CDMA,Code Division Multiple Access
C,CDN,content-delivery network
C,CDO,care delivery organization
C,CDP," Cisco Discovery Protocol
 Continuous Data Protection"
C,CDPD,Cellular Digital Packet Data
C,CDR," call detail recording
 clinical data repository"
C,CDS,Correlated Double Sampling
C,CDT,C/C++ Development Tools
C,CDV,Cell Delay Variation
C,CE router,Customer edge router
C,CEA, Consumer Electronics Association
C,CEAP, cloud-enabled application platforms
C,CEBP,communication-enabled business process
C,CEF," Cisco Express Forwarding
 Character Encoding Form"
C,CEH,Certified Ethical Hacker
C,CEI," Common Event Infrastructure
 comparably efficient interconnection"
C,CEIM,Common Enterprise Information Model 
C,CELL/B.E.,Cell Broadband Engine
C,CELP,code-excited linear prediction 
C,CEM,customer experience management
C,CEMF,Cisco Element Management Framework
C,CEP,complex event processing
C,CEPS,Common Electronic Purse Standard
C,CER,Corporate Error Reporting
C,CERN,Conseil Europeen pour la Recherche Nucleaire
C,CERT,Computer Emergency Response Team
C,CES,"Character Encoding Scheme
Consumer Electronics Show"
C,CESID,caller's emergency service identification
C,CEVA,content-enabled vertical application 
C,CF,Compact Flash 
C,CFA," Circuit Facility Assignment
 Color Filter Array"
C,CFB,Ciphertext feedback 
C,CFM," Code Fragment Manager
 Cubic Feet per Minute"
C,CFMN,Client For Microsoft Networks
C,CFV,Call For Votes
C,CG,Computer Graphics
C,CGA,Colour Graphics Adaptor
C,CGI," Common Gateway Interface
 Conseillers en Gestion et Informatique (french)"
C,CGM,Consumer-generated media
C,CGMP,Cisco Group Multicast Protocol
C,CHAP,Challenge Handshake Authentication Protocol
C,CHIPS,Clearing House Interbank Payments System
C,CIA,"confidentiality, integrity, and availability"
C,CIC," circuit identification code
 Cisco Info Center
  Customer Interaction Center"
C,CICS,Customer Information Control System
C,CIDR,Classless Internet Domain Routing
C,CIE,Commission Internationale de l'Eclairage
C,CIFS,Common Internet File System
C,CIK,crypto-ignition key
C,CIM,"Common Information Model 
Corporate Information Management
 Computer Integrated Manufacturing"
C,CINDER,Cyber Insider Threat 
C,CIO,chief information officer
C,CIP,Common Industrial Protocol
C,CIPA,Childrenâs Internet Protection Act
C,CIR,committed information rate
C,CIS," clinical information system
  CompuServe Information Service"
C,CISC,Complex Instruction Set Computer
C,CISO,chief information security officer
C,CISSP,Certified Information Systems Security Professional
C,CIX,Commercial Internet Exchange
C,CJK,X
C,CJKV,X
C,CKD,count key data 
C,CKO,chief knowledge officer
C,CLA,Corporate License Agreement
C,CLASS,Custom Local Area Signaling Services
C,CLEC,Competitive Local Exchange Carrier
C,CLI," Call Level Interface
           Calling Line Identification
 command line interface"
C,CLIPS,C Language Integrated Production System
C,CLLI,Common Language Location Identifier
C,CLM,Contract lifecycle management
C,CLNP,ConnectionLess Network Protocol
C,CLOB,character large object 
C,CLR," Cell Loss Ratio
 common language runtime"
C,CLTP,ConnectionLess Transport Protocol
C,CLUSRCVR,cluster-receiver channel
C,CLUSSDR,cluster-sender channel 
C,CLUT,Color LookUp Table
C,CLV,Constant Linear Velocity
C,CMA,Circular Mil Area
C,CMC,computer-mediated communication
C,CMDB,configuration management database
C,CME,Common Malware Enumeration 
C,CMIP,Common Management Information Protocol
C,CMIS," common management information service
 Content Management Interoperability Services "
C,CMM,Capability Maturity Model
C,CMOS,complementary metal-oxide semiconductor
C,CMOT,CMip Over Tcp
C,CMRR,common-mode rejection ratio 
C,CMRS,Commercial Mobile Radio Service
C,CMS," Color management system
 content management system"
C,CMTS,cable modem termination system
C,CNA,Converged Network Adapter
C,CNAM,Caller ID With Name
C,CNAME,Canonical name
C,CNE,Certified Novell Engineer (also Certified Network Engineer)
C,CNGI,China's Next Generation Internet
C,CNN,"Cable News Network 
composite network node"
C,CNR," Carrier to Noise Ratio
 combat-net radio"
C,CO,central office 
C,COAM,customer owned and maintained
C,COBIT,Control Objectives for Information and related Technologies 
C,COBOL,Common Business Orientated Language
C,COCOMO,COnstructive COst MOdel
C,COD," Call of Duty confirm on delivery
 Connection Oriented Data"
C,CODEC,coder/decoder or compressor-decompressor
C,COE, Component Object modEl
C,COEs,centers of excellence 
C,COIN,Community Of Interest Network
C,COLD,computer output to laserdisc
C,COM," communications port
 Component Object Model
 computer output to microfiche"
C,COMDEX, Computer Dealers Expo
C,COMPAQ,COMPatibilty And Quality
C,COMPARE,Compliance Progress and Readiness
C,COMSAT,Communications Satellite Corporation 
C,COOL,C++ Object Oriented Language
C,COOP,Continuity of Operations Plan
C,COPPA,Children's Online Privacy Protection Act
C,COPS," Common Open Policy Service
 Communications Outsourcing and Professional Services"
C,COR,central outdoor router
C,CORBA,Common Object Request Broker Architecture
C,CORE,COMPARE Operational Readiness Evaluation
C,CORS, Continuously Operating Reference Station
C,COS,Cloud Optimized Storage
C,COTS,commercial off-the-shelf
C,COW,Copy-On-Write
C,CPA,Cost Per Action 
C,CPAN,Comprehensive Perl Archive Network
C,CPC," Calling Party Control
 Cost Per Click "
C,CPE,customer premises equipment
C,CPF,Cloud Provisioning Fabric
C,CPLD,Complex Programmable Logic Device
C,CPM,corporate performance management
C,CPN,calling party number
C,CPNI,Customer Proprietary Network Information
C,CPOE,Computerized Provider Order Entry
C,CPP,C Plus Plus
C,CPRM,Content Protection for Removable Media 
C,CPS, Continuous Protection Server 
C,CPU,"Call Pick Up
Central Processing Unit
Critical Patch Update
"
C,CRACK,Challenge/Response Authentication of Cryptographic                   Key
C,CRC,Cyclic Redundancy Check
C,CRL,certificate revocation list 
C,CRLF,"carriage return, line feed"
C,CRM,Customer Relationship Management
C,CRMB,Customer Reference Material  Database 
C,CRR, Continuous	Remote	Replication
C,CRT,Cathode Ray Tube
C,CRUD,"Create, Read, Update, Delete"
C,CS," Computer science
 Creative Suite"
C,CSA," cloud 
          service agreements
 Communications Streaming Architecture
 Composite Services Architecture"
C,CSC," card security code 
 Circuit Switched Cellular 
  Computer Sciences Corporation
  Content Security and Control"
C,CSCA,Carrier Sense Collision Avoidance
C,CSCF, call session control function
C,CSCW,computer supported co-operative work
C,CSD,Cisco  Secure Desktop
C,CSE,custom search engine
C,CSFs,critical success factors
C,CSG,Communications Services Group 
C,CSMA,Carrier Sense Multiple Access
C,CSMA/CD,Carrier Sense Multiple Access with Collision Detection
C,CSO,"   chief sourcing officer
 Cold Start Only"
C,CSP," Chip-scale packaging
 Communications service providers 
 Crystal Server Pages"
C,CSS,Cascading Style Sheet
C,CSS-P,cascading style sheet positioning 
C,CST,Consolidated Service Test
C,CSU,"  Certificate Signing Unit
  Channel Service Unit"
C,CSV," Circuit Switched Voice
 comma separated values"
C,CSW,channel status word
C,CT," China Telecom
Contone "
C,CTCp,Client-To-Client-Protocol
C,CTD,Cell Transfer Delay
C,CTI,computer-telephony integration
C,CTO,chief technology officer
C,CTP,capable to promise
C,CTR,Click-Through Rate
C,CTS," clear to send 
 common transport semantics"
C,CTT,China Tietong Telecommunications
C,CTX,Commited to Excellence
C,CUG,closed user group
C,CUPS,Common Unix Printing System
C,CUoD,Capacity Upgrade on Demand
C,CVC,X
C,CVC2,X
C,CVP,Content Vectoring Protocol
C,CVS,"  Computer Vision Syndrome
 Concurrent Versions System "
C,CVSD,Continuous Variable Slope Delta modulation
C,CVV2,X
C,CYMK,"cyan, magenta, yellow, black"
C,CaaS,Communications as a Service 
C,CeCILL,CEA CNRS INRIA Logiciel Libre 
C,CfMD,Certified for Microsoft Dynamics
C,ChR,channel reliability
C,Charset,character set
C,CiR,circuit reliability 
C,CoA,Care Of Address
C,CoDA,Context Delivery Architecture 
C,CoS,class of service
C,Csel,Cable Select
C,cB,C Beautifier
